Invoice ID,City,Customer type,Gender,Product line,Unit price,Quantity,Total,Time,Payment,Rating,Data
232-16-2483,São Paulo,Membro,Mulher,Esportes e Viagens,68.12,1,68.12,12:28,Pix,6.8,2025-01-01
129-29-8530,Rio de Janeiro,Membro,Homem,Esportes e Viagens,62.62,5,313.1,19:15,Pix,7.0,2025-01-01
272-65-1806,Rio de Janeiro,Normal,Mulher,Acessorios Eletronicos,60.88,9,547.92,17:17,Pix,4.7,2025-01-01
333-73-7901,São Paulo,Normal,Mulher,Saude e Beleza,54.92,8,439.36,13:24,Pix,7.6,2025-01-01
777-82-7220,Manaus,Membro,Homem,Casa e Estilo de Vida,30.12,8,240.96,13:01,Debito,7.7,2025-01-01
280-35-5823,Manaus,Membro,Mulher,Casa e Estilo de Vida,86.72,1,86.72,18:45,Pix,7.9,2025-01-01
554-53-8700,São Paulo,Membro,Homem,Casa e Estilo de Vida,56.11,2,112.22,10:11,Debito,6.3,2025-01-01
354-25-5821,Manaus,Membro,Mulher,Esportes e Viagens,69.12,6,414.72,13:03,Debito,5.6,2025-01-01
228-96-1411,São Paulo,Membro,Mulher,Alimentos e Bebidas,98.7,8,789.6,20:39,Debito,7.6,2025-01-01
617-15-4209,São Paulo,Membro,Homem,Saude e Beleza,15.37,2,30.74,19:47,Debito,7.2,2025-01-01
132-32-9879,Manaus,Membro,Mulher,Acessorios Eletronicos,93.96,4,375.84,18:00,Debito,9.5,2025-01-01
370-41-7321,Manaus,Membro,Homem,Saude e Beleza,56.69,9,510.21,17:24,Cartao de Credito,8.4,2025-01-01
727-46-3608,Manaus,Membro,Mulher,Alimentos e Bebidas,20.01,9,180.09,15:47,Pix,4.1,2025-01-01
669-54-1719,Manaus,Membro,Homem,Acessorios Eletronicos,18.93,6,113.58,12:45,Cartao de Credito,8.1,2025-01-01
574-22-5561,São Paulo,Membro,Mulher,Moda,82.63,10,826.3,17:08,Pix,7.9,2025-01-01
326-78-5178,São Paulo,Membro,Homem,Alimentos e Bebidas,91.4,7,639.8,10:19,Debito,9.5,2025-01-01
162-48-8011,Rio de Janeiro,Membro,Mulher,Alimentos e Bebidas,44.59,5,222.95,15:10,Debito,8.5,2025-01-01
616-24-2851,Manaus,Membro,Mulher,Moda,17.87,4,71.48,14:42,Pix,6.5,2025-01-01
778-71-5554,São Paulo,Membro,Homem,Moda,15.43,1,15.43,15:46,Cartao de Credito,6.1,2025-01-01
242-55-6721,Manaus,Normal,Homem,Casa e Estilo de Vida,16.16,2,32.32,11:49,Pix,6.5,2025-01-01
399-46-5918,São Paulo,Normal,Mulher,Acessorios Eletronicos,85.98,8,687.84,19:01,Debito,8.2,2025-01-01
106-35-6779,Rio de Janeiro,Membro,Homem,Casa e Estilo de Vida,44.34,2,88.68,11:26,Debito,5.8,2025-01-01
635-40-6220,Rio de Janeiro,Normal,Homem,Saude e Beleza,89.6,8,716.8,11:28,Pix,6.6,2025-01-01
817-48-8732,Rio de Janeiro,Membro,Mulher,Casa e Estilo de Vida,72.35,10,723.5,15:55,Debito,5.4,2025-01-01
120-06-4233,São Paulo,Normal,Homem,Acessorios Eletronicos,30.61,6,183.66,20:36,Debito,9.3,2025-01-01
285-68-5083,São Paulo,Membro,Mulher,Esportes e Viagens,24.74,3,74.22,17:47,Cartao de Credito,10.0,2025-01-01
803-83-5989,São Paulo,Normal,Homem,Casa e Estilo de Vida,55.73,6,334.38,10:55,Pix,7.0,2025-01-01
347-34-2234,Manaus,Membro,Mulher,Esportes e Viagens,55.07,9,495.63,13:40,Pix,10.0,2025-01-01
199-75-8169,Rio de Janeiro,Membro,Homem,Esportes e Viagens,15.81,10,158.1,12:27,Cartao de Credito,8.6,2025-01-01
853-23-2453,Manaus,Membro,Homem,Saude e Beleza,75.74,4,302.96,14:35,Debito,7.6,2025-01-01
877-22-3308,Rio de Janeiro,Membro,Homem,Saude e Beleza,15.87,10,158.7,16:40,Debito,5.8,2025-01-01
838-78-4295,São Paulo,Normal,Mulher,Saude e Beleza,33.47,2,66.94,15:43,Pix,6.7,2025-01-01
109-28-2512,Manaus,Membro,Mulher,Moda,97.61,6,585.66,15:01,Pix,9.9,2025-01-01
232-11-3025,Rio de Janeiro,Normal,Homem,Esportes e Viagens,78.77,10,787.7,10:04,Debito,6.4,2025-01-01
382-03-4532,Rio de Janeiro,Membro,Mulher,Saude e Beleza,18.33,1,18.33,18:50,Debito,4.3,2025-01-01
393-65-2792,São Paulo,Normal,Homem,Alimentos e Bebidas,89.48,10,894.8,12:46,Cartao de Credito,9.6,2025-01-01
796-12-2025,São Paulo,Normal,Homem,Moda,62.12,10,621.2,16:19,Debito,5.9,2025-01-01
510-95-6347,Manaus,Membro,Mulher,Alimentos e Bebidas,48.52,3,145.56,18:17,Pix,4.0,2025-01-01
841-35-6630,São Paulo,Normal,Mulher,Acessorios Eletronicos,75.91,6,455.46,18:21,Debito,8.7,2025-01-01
287-21-9091,Rio de Janeiro,Normal,Homem,Casa e Estilo de Vida,74.67,9,672.03,10:55,Pix,9.4,2025-01-01
732-94-0499,São Paulo,Normal,Mulher,Acessorios Eletronicos,41.65,10,416.5,17:04,Cartao de Credito,5.4,2025-01-01
263-10-3913,São Paulo,Membro,Homem,Moda,49.04,9,441.36,14:20,Cartao de Credito,8.6,2025-01-01
381-20-0914,Rio de Janeiro,Membro,Mulher,Moda,20.01,9,180.09,15:48,Cartao de Credito,5.7,2025-01-01
829-49-1914,São Paulo,Membro,Mulher,Alimentos e Bebidas,78.31,10,783.1,16:24,Pix,6.6,2025-01-01
756-01-7507,São Paulo,Normal,Mulher,Saude e Beleza,20.38,5,101.9,18:56,Debito,6.0,2025-01-01
870-72-4431,São Paulo,Normal,Mulher,Saude e Beleza,99.19,6,595.14,14:42,Cartao de Credito,5.5,2025-01-01
847-38-7188,Manaus,Normal,Mulher,Alimentos e Bebidas,96.68,3,290.04,19:56,Pix,6.4,2025-01-01
480-63-2856,São Paulo,Normal,Homem,Alimentos e Bebidas,19.25,8,154.0,18:37,Pix,6.6,2025-01-01
787-56-0757,São Paulo,Membro,Mulher,Alimentos e Bebidas,80.36,4,321.44,18:45,Cartao de Credito,8.3,2025-01-01
360-39-5055,São Paulo,Membro,Homem,Esportes e Viagens,48.91,5,244.55,10:17,Debito,6.6,2025-01-01
730-50-9884,São Paulo,Normal,Mulher,Esportes e Viagens,83.06,7,581.42,14:31,Pix,4.0,2025-01-01
362-58-8315,São Paulo,Normal,Homem,Moda,76.52,5,382.6,10:23,Debito,9.9,2025-01-01
633-44-8566,Rio de Janeiro,Membro,Homem,Alimentos e Bebidas,49.38,7,345.66,20:35,Cartao de Credito,7.3,2025-01-01
504-35-8843,Rio de Janeiro,Normal,Homem,Esportes e Viagens,42.47,1,42.47,16:57,Debito,5.7,2025-01-01
318-68-5053,Manaus,Normal,Mulher,Saude e Beleza,76.99,6,461.94,17:55,Debito,6.1,2025-01-01
565-80-5980,São Paulo,Membro,Mulher,Casa e Estilo de Vida,47.38,4,189.52,10:25,Debito,7.1,2025-01-01
225-32-0908,São Paulo,Normal,Mulher,Esportes e Viagens,44.86,10,448.6,19:54,Pix,8.2,2025-01-01
873-51-0671,Rio de Janeiro,Membro,Mulher,Esportes e Viagens,21.98,7,153.86,16:42,Pix,5.1,2025-01-01
152-08-9985,Manaus,Membro,Homem,Saude e Beleza,64.36,9,579.24,12:09,Cartao de Credito,8.6,2025-01-01
512-91-0811,São Paulo,Normal,Homem,Saude e Beleza,89.75,1,89.75,20:05,Cartao de Credito,6.6,2025-01-01
594-34-4444,Rio de Janeiro,Normal,Homem,Acessorios Eletronicos,97.16,1,97.16,20:38,Pix,7.2,2025-01-01
766-85-7061,Manaus,Normal,Homem,Saude e Beleza,87.87,10,878.7,10:25,Pix,5.1,2025-01-01
871-39-9221,São Paulo,Normal,Mulher,Acessorios Eletronicos,12.45,6,74.7,13:11,Debito,4.1,2025-01-01
865-92-6136,Rio de Janeiro,Normal,Homem,Alimentos e Bebidas,52.75,3,158.25,10:16,Pix,9.3,2025-01-01
733-01-9107,Manaus,Normal,Homem,Casa e Estilo de Vida,82.7,6,496.2,18:14,Debito,7.4,2025-01-01
163-56-7055,São Paulo,Membro,Homem,Moda,48.71,1,48.71,19:20,Debito,4.1,2025-01-01
189-98-2939,São Paulo,Normal,Homem,Moda,78.55,9,706.95,13:22,Debito,7.2,2025-01-01
551-21-3069,São Paulo,Normal,Mulher,Acessorios Eletronicos,23.07,9,207.63,11:27,Debito,4.9,2025-01-01
212-62-1842,Rio de Janeiro,Normal,Homem,Alimentos e Bebidas,58.26,6,349.56,16:44,Debito,9.9,2025-01-01
716-39-1409,Manaus,Normal,Homem,Saude e Beleza,30.35,7,212.45,18:19,Debito,8.0,2025-01-01
704-48-3927,Rio de Janeiro,Membro,Homem,Acessorios Eletronicos,88.67,10,886.7,14:50,Pix,7.3,2025-01-01
628-34-3388,São Paulo,Normal,Homem,Moda,27.38,6,164.28,20:54,Cartao de Credito,7.9,2025-01-01
630-74-5166,Rio de Janeiro,Normal,Homem,Esportes e Viagens,62.13,6,372.78,20:19,Debito,7.4,2025-01-01
588-01-7461,São Paulo,Normal,Mulher,Alimentos e Bebidas,33.98,9,305.82,10:43,Debito,4.2,2025-01-01
861-77-0145,São Paulo,Membro,Homem,Acessorios Eletronicos,81.97,10,819.7,14:30,Debito,9.2,2025-01-01
479-26-8945,Manaus,Membro,Mulher,Esportes e Viagens,16.49,2,32.98,11:32,Pix,4.6,2025-01-01
210-67-5886,São Paulo,Membro,Mulher,Saude e Beleza,98.21,3,294.63,10:41,Cartao de Credito,7.8,2025-01-01
227-78-1148,Manaus,Normal,Mulher,Moda,72.84,7,509.88,12:44,Debito,8.4,2025-01-01
645-44-1170,Rio de Janeiro,Membro,Homem,Casa e Estilo de Vida,58.07,9,522.63,20:07,Pix,4.3,2025-01-01
237-01-6122,São Paulo,Membro,Mulher,Casa e Estilo de Vida,80.79,9,727.11,20:31,Cartao de Credito,9.5,2025-01-01
225-98-1496,São Paulo,Normal,Mulher,Moda,27.02,3,81.06,13:01,Cartao de Credito,7.1,2025-01-01
291-32-1427,Manaus,Membro,Homem,Moda,21.94,5,109.7,12:29,Pix,5.3,2025-01-01
659-65-8956,Manaus,Membro,Homem,Moda,51.36,1,51.36,15:26,Pix,5.2,2025-01-01
642-32-2990,Rio de Janeiro,Normal,Mulher,Alimentos e Bebidas,10.96,10,109.6,20:48,Pix,6.0,2025-01-01
378-24-2715,Manaus,Normal,Homem,Casa e Estilo de Vida,53.44,2,106.88,20:38,Pix,4.1,2025-01-01
638-60-7125,Rio de Janeiro,Normal,Mulher,Acessorios Eletronicos,99.56,8,796.48,17:03,Cartao de Credito,5.2,2025-01-01
659-36-1684,São Paulo,Membro,Homem,Esportes e Viagens,57.12,7,399.84,12:02,Cartao de Credito,6.5,2025-01-01
219-22-9386,Manaus,Membro,Homem,Esportes e Viagens,99.96,9,899.64,17:26,Cartao de Credito,4.2,2025-01-01
336-78-2147,São Paulo,Membro,Homem,Casa e Estilo de Vida,63.91,8,511.28,19:52,Cartao de Credito,4.6,2025-01-01
268-27-6179,Manaus,Membro,Mulher,Moda,56.47,8,451.76,14:57,Pix,7.3,2025-01-01
668-90-8900,Rio de Janeiro,Normal,Mulher,Casa e Estilo de Vida,93.69,7,655.83,18:44,Cartao de Credito,4.5,2025-01-01
870-54-3162,Rio de Janeiro,Normal,Mulher,Esportes e Viagens,32.25,5,161.25,13:26,Debito,9.0,2025-01-01
189-08-9157,São Paulo,Normal,Mulher,Moda,31.73,9,285.57,16:17,Cartao de Credito,5.9,2025-01-01
663-86-9076,São Paulo,Membro,Mulher,Alimentos e Bebidas,68.54,8,548.32,15:57,Pix,8.5,2025-01-01
549-84-7482,Manaus,Normal,Mulher,Esportes e Viagens,90.28,9,812.52,11:15,Pix,7.2,2025-01-01
191-10-6171,Manaus,Normal,Mulher,Moda,39.62,7,277.34,13:18,Debito,7.5,2025-01-01
802-70-5316,Rio de Janeiro,Membro,Mulher,Esportes e Viagens,92.13,6,552.78,20:34,Debito,8.3,2025-01-01
695-51-0018,Manaus,Normal,Mulher,Esportes e Viagens,34.84,4,139.36,18:36,Debito,7.4,2025-01-01
590-83-4591,Manaus,Membro,Homem,Acessorios Eletronicos,87.45,6,524.7,14:40,Cartao de Credito,8.8,2025-01-01
483-71-1164,São Paulo,Normal,Mulher,Saude e Beleza,81.3,6,487.8,16:43,Pix,5.3,2025-01-01
597-78-7908,São Paulo,Normal,Homem,Moda,90.22,3,270.66,19:39,Debito,6.2,2025-01-01
700-81-1757,Rio de Janeiro,Normal,Mulher,Acessorios Eletronicos,26.31,5,131.55,20:59,Cartao de Credito,8.8,2025-01-01
354-39-5160,Rio de Janeiro,Membro,Mulher,Casa e Estilo de Vida,34.42,6,206.52,15:39,Debito,9.8,2025-01-01
241-72-9525,Manaus,Normal,Homem,Esportes e Viagens,51.91,10,519.1,12:21,Debito,8.2,2025-01-01
575-30-8091,Rio de Janeiro,Normal,Homem,Esportes e Viagens,72.5,8,580.0,19:25,Pix,9.2,2025-01-01
731-81-9469,São Paulo,Membro,Mulher,Esportes e Viagens,89.8,10,898.0,13:00,Cartao de Credito,5.4,2025-01-01
280-17-4359,São Paulo,Membro,Homem,Saude e Beleza,90.5,10,905.0,13:48,Debito,8.1,2025-01-01
338-65-2210,São Paulo,Membro,Mulher,Saude e Beleza,68.6,10,686.0,19:57,Debito,9.1,2025-01-01
488-25-4221,São Paulo,Membro,Mulher,Alimentos e Bebidas,30.41,1,30.41,10:36,Cartao de Credito,8.4,2025-01-01
239-10-7476,Rio de Janeiro,Normal,Mulher,Casa e Estilo de Vida,77.95,6,467.7,16:37,Pix,8.0,2025-01-01
458-41-1477,São Paulo,Normal,Mulher,Saude e Beleza,46.26,6,277.56,17:11,Cartao de Credito,9.5,2025-01-01
685-64-1609,Rio de Janeiro,Membro,Mulher,Moda,30.14,10,301.4,12:28,Pix,9.2,2025-01-01
568-90-5112,São Paulo,Normal,Homem,Saude e Beleza,66.14,4,264.56,12:46,Cartao de Credito,5.6,2025-01-01
262-47-2794,Manaus,Membro,Homem,Casa e Estilo de Vida,71.86,8,574.88,15:07,Cartao de Credito,6.2,2025-01-01
238-49-0436,Rio de Janeiro,Normal,Homem,Saude e Beleza,32.46,8,259.68,13:48,Cartao de Credito,4.9,2025-01-01
608-96-3517,Manaus,Membro,Mulher,Moda,91.54,4,366.16,19:20,Cartao de Credito,4.8,2025-01-01
584-86-7256,São Paulo,Membro,Homem,Esportes e Viagens,34.56,7,241.92,16:07,Cartao de Credito,7.3,2025-01-01
746-94-0204,Rio de Janeiro,Normal,Homem,Moda,83.24,9,749.16,11:56,Cartao de Credito,7.4,2025-01-01
214-17-6927,São Paulo,Normal,Mulher,Alimentos e Bebidas,16.48,6,98.88,18:23,Pix,9.9,2025-01-01
400-89-4171,São Paulo,Normal,Mulher,Esportes e Viagens,80.97,8,647.76,13:05,Debito,9.3,2025-01-01
782-95-9291,Rio de Janeiro,Membro,Homem,Alimentos e Bebidas,92.29,5,461.45,15:55,Cartao de Credito,9.0,2025-01-01
279-74-2924,Manaus,Membro,Homem,Acessorios Eletronicos,72.17,1,72.17,19:40,Debito,6.1,2025-01-01
307-85-2293,Manaus,Normal,Homem,Casa e Estilo de Vida,50.28,5,251.4,13:58,Pix,9.7,2025-01-01
743-04-1105,Manaus,Membro,Homem,Saude e Beleza,97.22,9,874.98,14:43,Pix,6.0,2025-01-01
423-57-2993,Manaus,Normal,Homem,Esportes e Viagens,93.39,6,560.34,19:18,Pix,10.0,2025-01-01
894-41-5205,São Paulo,Normal,Mulher,Alimentos e Bebidas,43.18,8,345.44,19:39,Cartao de Credito,8.3,2025-01-01
275-28-0149,Rio de Janeiro,Normal,Homem,Esportes e Viagens,63.69,1,63.69,16:21,Debito,6.0,2025-01-01
101-17-6199,Rio de Janeiro,Normal,Homem,Alimentos e Bebidas,45.79,7,320.53,19:44,Cartao de Credito,7.0,2025-01-01
423-80-0988,São Paulo,Normal,Homem,Esportes e Viagens,76.4,2,152.8,19:42,Pix,6.5,2025-01-01
548-46-9322,Manaus,Normal,Homem,Alimentos e Bebidas,39.9,10,399.0,15:24,Cartao de Credito,5.9,2025-01-01
505-02-0892,Manaus,Membro,Homem,Saude e Beleza,42.57,8,340.56,14:12,Pix,5.6,2025-01-01
234-65-2137,São Paulo,Normal,Homem,Casa e Estilo de Vida,95.58,10,955.8,13:32,Debito,4.8,2025-01-01
687-47-8271,Rio de Janeiro,Normal,Homem,Moda,98.98,10,989.8,16:20,Cartao de Credito,8.7,2025-01-01
796-32-9050,Rio de Janeiro,Normal,Homem,Alimentos e Bebidas,51.28,6,307.68,16:31,Debito,6.5,2025-01-01
105-31-1824,Rio de Janeiro,Membro,Homem,Esportes e Viagens,69.52,7,486.64,15:10,Cartao de Credito,8.5,2025-01-01
249-42-3782,Rio de Janeiro,Normal,Homem,Saude e Beleza,70.01,5,350.05,11:36,Pix,5.5,2025-01-01
316-55-4634,Manaus,Membro,Homem,Alimentos e Bebidas,80.05,5,400.25,12:45,Cartao de Credito,9.4,2025-01-01
733-33-4967,São Paulo,Normal,Homem,Acessorios Eletronicos,20.85,8,166.8,19:17,Debito,6.3,2025-01-01
608-27-6295,Manaus,Membro,Homem,Acessorios Eletronicos,52.89,6,317.34,17:34,Cartao de Credito,9.8,2025-01-01
414-12-7047,Manaus,Normal,Homem,Alimentos e Bebidas,19.79,8,158.32,12:04,Pix,8.7,2025-01-01
827-26-2100,Rio de Janeiro,Membro,Homem,Casa e Estilo de Vida,33.84,9,304.56,16:21,Pix,8.8,2025-01-01
175-54-2529,Rio de Janeiro,Membro,Homem,Alimentos e Bebidas,22.17,8,177.36,17:01,Cartao de Credito,9.6,2025-01-01
139-52-2867,São Paulo,Normal,Mulher,Moda,22.51,7,157.57,10:50,Cartao de Credito,4.8,2025-01-01
407-63-8975,Rio de Janeiro,Normal,Homem,Alimentos e Bebidas,73.88,6,443.28,19:16,Pix,4.4,2025-01-01
342-65-4817,São Paulo,Membro,Homem,Saude e Beleza,86.8,3,260.4,16:47,Pix,9.9,2025-01-01
130-98-8941,São Paulo,Normal,Homem,Moda,64.26,7,449.82,10:00,Debito,5.7,2025-01-01
434-83-9547,São Paulo,Membro,Homem,Alimentos e Bebidas,38.47,8,307.76,11:51,Debito,7.7,2025-01-01
851-28-6367,Rio de Janeiro,Membro,Homem,Esportes e Viagens,15.5,10,155.0,10:55,Pix,8.0,2025-01-01
824-88-3614,São Paulo,Normal,Homem,Saude e Beleza,34.31,8,274.48,15:00,Pix,5.7,2025-01-01
586-25-0848,Rio de Janeiro,Normal,Mulher,Esportes e Viagens,12.34,7,86.38,11:19,Cartao de Credito,6.7,2025-01-01
895-66-0685,Manaus,Membro,Homem,Alimentos e Bebidas,18.08,3,54.24,19:46,Pix,8.0,2025-01-01
305-14-0245,Manaus,Membro,Mulher,Casa e Estilo de Vida,94.49,8,755.92,19:00,Pix,7.5,2025-01-01
732-04-5373,Manaus,Membro,Homem,Casa e Estilo de Vida,46.47,4,185.88,10:53,Debito,7.0,2025-01-01
400-60-7251,Rio de Janeiro,Normal,Homem,Casa e Estilo de Vida,74.07,1,74.07,12:50,Pix,9.9,2025-01-01
593-65-1552,São Paulo,Normal,Mulher,Casa e Estilo de Vida,69.81,4,279.24,20:50,Cartao de Credito,5.9,2025-01-01
284-34-9626,Manaus,Normal,Mulher,Casa e Estilo de Vida,77.04,3,231.12,10:39,Cartao de Credito,7.2,2025-01-01
437-58-8131,Manaus,Normal,Mulher,Moda,73.52,2,147.04,13:41,Pix,4.6,2025-01-01
286-43-6208,São Paulo,Normal,Mulher,Alimentos e Bebidas,87.8,9,790.2,19:08,Debito,9.2,2025-01-01
641-43-2399,Manaus,Normal,Homem,Casa e Estilo de Vida,25.55,4,102.2,20:23,Pix,5.7,2025-01-01
831-07-6050,Rio de Janeiro,Normal,Homem,Acessorios Eletronicos,32.71,5,163.55,11:30,Cartao de Credito,9.9,2025-01-01
556-86-3144,São Paulo,Membro,Mulher,Moda,74.29,1,74.29,19:30,Debito,5.0,2025-01-01
848-24-9445,São Paulo,Membro,Homem,Saude e Beleza,43.7,2,87.4,18:03,Debito,4.9,2025-01-01
856-22-8149,Rio de Janeiro,Normal,Mulher,Casa e Estilo de Vida,25.29,1,25.29,10:13,Pix,6.1,2025-01-01
699-01-4164,São Paulo,Normal,Homem,Saude e Beleza,41.5,4,166.0,19:58,Cartao de Credito,8.2,2025-01-01
420-11-4919,São Paulo,Membro,Mulher,Alimentos e Bebidas,71.39,5,356.95,19:57,Cartao de Credito,5.5,2025-01-01
606-80-4905,São Paulo,Membro,Mulher,Esportes e Viagens,19.15,6,114.9,10:01,Cartao de Credito,6.8,2025-01-01
542-41-0513,Manaus,Membro,Mulher,Acessorios Eletronicos,57.49,4,229.96,11:57,Debito,6.6,2025-01-01
426-39-2418,São Paulo,Normal,Homem,Acessorios Eletronicos,61.41,7,429.87,10:02,Debito,9.8,2025-01-01
875-46-5808,Manaus,Membro,Homem,Saude e Beleza,25.9,10,259.0,14:51,Pix,8.7,2025-01-01
394-43-4238,Manaus,Membro,Homem,Casa e Estilo de Vida,17.77,5,88.85,12:42,Cartao de Credito,5.4,2025-01-01
749-24-1565,Rio de Janeiro,Normal,Mulher,Saude e Beleza,23.03,9,207.27,12:02,Pix,7.9,2025-01-01
672-51-8681,São Paulo,Membro,Mulher,Acessorios Eletronicos,66.65,9,599.85,18:19,Cartao de Credito,9.7,2025-01-01
263-87-5680,São Paulo,Membro,Mulher,Casa e Estilo de Vida,28.53,10,285.3,17:38,Pix,7.8,2025-01-01
573-58-9734,Manaus,Normal,Mulher,Moda,30.37,3,91.11,13:41,Pix,5.1,2025-01-01
817-69-8206,Manaus,Normal,Mulher,Acessorios Eletronicos,99.73,9,897.57,19:42,Cartao de Credito,6.5,2025-01-01
888-02-0338,Rio de Janeiro,Normal,Homem,Acessorios Eletronicos,26.23,9,236.07,20:24,Pix,5.9,2025-01-01
677-11-0152,São Paulo,Normal,Mulher,Alimentos e Bebidas,93.26,9,839.34,18:08,Debito,8.8,2025-01-01
142-63-6033,Manaus,Normal,Homem,Casa e Estilo de Vida,92.36,5,461.8,19:17,Pix,4.9,2025-01-01
656-16-1063,Manaus,Normal,Homem,Esportes e Viagens,46.42,3,139.26,13:24,Cartao de Credito,4.4,2025-01-01
891-58-8335,Manaus,Membro,Mulher,Esportes e Viagens,29.61,7,207.27,15:53,Debito,6.5,2025-01-01
802-43-8934,Rio de Janeiro,Normal,Homem,Casa e Estilo de Vida,18.28,1,18.28,15:05,Cartao de Credito,8.3,2025-01-01
560-30-5617,Manaus,Normal,Mulher,Esportes e Viagens,24.77,5,123.85,18:27,Debito,8.5,2025-01-01
319-74-2561,Rio de Janeiro,Membro,Mulher,Acessorios Eletronicos,94.64,3,283.92,16:55,Debito,5.5,2025-01-01
549-03-9315,Manaus,Normal,Homem,Moda,94.87,8,758.96,12:58,Pix,8.7,2025-01-01
790-29-1172,Manaus,Normal,Mulher,Alimentos e Bebidas,57.34,3,172.02,18:59,Cartao de Credito,7.9,2025-01-01
